Repeat,Outer_Seed,Top_K,Penalty,Class_Weight,C,Threshold,Inner_Best_F1,Inner_Threshold_Accuracy,Inner_Threshold_F1,Selected_Features,Nonzero_Coefficients,Sensitivity,Specificity,PPV,NPV,Accuracy,Balanced_Accuracy,F1,AUC
16,16042,150,l1,balanced,0.1,0.5299999999999999,0.5961912026442919,0.7401574803149606,0.6451612903225806,150,13,0.7272727272726611,0.7142857142856803,0.5714285714285307,0.8333333333332871,0.71875,0.7207792207792207,0.64,0.7792207792207794
17,17042,300,l2,None,0.1,0.49999999999999994,0.5878237259816206,0.7559055118110236,0.6436781609195402,300,300,0.5454545454544959,0.7619047619047257,0.5454545454544959,0.7619047619047257,0.6875,0.6536796536796536,0.5454545454545454,0.8051948051948052
18,18042,250,l1,balanced,1.0,0.575,0.7170020639834881,0.7874015748031497,0.6666666666666666,250,52,0.45454545454541323,0.9999999999999525,0.9999999999997999,0.777777777777749,0.8125,0.7272727272727273,0.625,0.7012987012987013
19,19042,300,l2,None,1.0,0.735,0.6616541353383459,0.7952755905511811,0.6486486486486487,300,300,0.18181818181816528,0.9047619047618618,0.499999999999875,0.6785714285714044,0.65625,0.5432900432900433,0.26666666666666666,0.696969696969697
20,20042,300,l2,None,0.01,0.5349999999999999,0.6172961816305469,0.7244094488188977,0.6067415730337079,300,300,0.45454545454541323,0.8571428571428164,0.6249999999999218,0.7499999999999688,0.71875,0.6558441558441558,0.5263157894736842,0.7662337662337662
21,21042,300,l2,None,0.1,0.32999999999999996,0.6532212885154063,0.7165354330708661,0.6538461538461539,300,300,0.7272727272726611,0.666666666666635,0.5333333333332978,0.8235294117646575,0.6875,0.696969696969697,0.6153846153846154,0.8441558441558441
22,22042,250,l2,balanced,0.1,0.6549999999999999,0.6104093567251463,0.7716535433070866,0.6233766233766234,250,250,0.7272727272726611,0.8571428571428164,0.7272727272726611,0.8571428571428164,0.8125,0.7922077922077921,0.7272727272727273,0.8917748917748918
23,23042,150,l1,balanced,10.0,0.08499999999999999,0.6118705855547961,0.6141732283464567,0.5333333333333333,150,55,0.5454545454544959,0.7619047619047257,0.5454545454544959,0.7619047619047257,0.6875,0.6536796536796536,0.5454545454545454,0.7142857142857143
24,24042,300,l1,None,1.0,0.43999999999999995,0.6263157894736843,0.8031496062992126,0.6987951807228916,300,57,0.5454545454544959,0.8571428571428164,0.6666666666665926,0.78260869565214,0.75,0.7012987012987013,0.6,0.7575757575757577
25,25042,250,l2,balanced,0.1,0.4499999999999999,0.621635931260376,0.7322834645669292,0.6458333333333334,250,250,0.6363636363635785,0.7142857142856803,0.538461538461497,0.7894736842104848,0.6875,0.6753246753246753,0.5833333333333334,0.7012987012987013
26,26042,150,l2,balanced,100.0,0.19,0.6846078431372549,0.7007874015748031,0.5681818181818182,150,150,0.8181818181817438,0.666666666666635,0.5624999999999649,0.8749999999999454,0.71875,0.7424242424242424,0.6666666666666666,0.7445887445887447
27,27042,250,l2,balanced,0.1,0.4649999999999999,0.7361988304093567,0.7480314960629921,0.6595744680851063,250,250,0.5454545454544959,0.7142857142856803,0.4999999999999583,0.7499999999999626,0.65625,0.6298701298701299,0.5217391304347826,0.6233766233766234
28,28042,300,l1,None,100.0,0.41999999999999993,0.6596491228070176,0.7244094488188977,0.5569620253164557,300,79,0.8181818181817438,0.8571428571428164,0.7499999999999375,0.8999999999999551,0.84375,0.8376623376623377,0.782608695652174,0.8528138528138529
29,29042,200,l2,balanced,0.1,0.4549999999999999,0.6052631578947368,0.7637795275590551,0.6590909090909091,200,200,0.9090909090908265,0.7142857142856803,0.624999999999961,0.9374999999999415,0.78125,0.8116883116883117,0.7407407407407407,0.922077922077922
