Repeat,Outer_Seed,Config,Top_K,Penalty,Class_Weight,C,Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,Balanced_Accuracy,F1,AUC
17,17042,C_Top300_L2_none,300,l2,None,0.1,0.49999999999999994,0.5454545454544959,0.7619047619047257,0.5454545454544959,0.7619047619047257,0.6875,0.6536796536796536,0.5454545454545454,0.8051948051948052
18,18042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.4599999999999999,0.36363636363633056,0.7619047619047257,0.44444444444439507,0.6956521739130133,0.625,0.5627705627705628,0.4,0.6277056277056277
18,18042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.57,0.36363636363633056,0.8571428571428164,0.5714285714284898,0.7199999999999712,0.6875,0.6103896103896104,0.4444444444444444,0.6493506493506493
18,18042,C_Top300_L2_none,300,l2,None,0.1,0.42999999999999994,0.45454545454541323,0.7619047619047257,0.49999999999995,0.7272727272726943,0.65625,0.6082251082251082,0.47619047619047616,0.7359307359307359
19,19042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.565,0.27272727272724795,0.8571428571428164,0.4999999999999167,0.6923076923076658,0.65625,0.5649350649350648,0.35294117647058826,0.748917748917749
19,19042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.8049999999999999,0.18181818181816528,0.9047619047618618,0.499999999999875,0.6785714285714044,0.65625,0.5432900432900433,0.26666666666666666,0.7272727272727273
19,19042,C_Top300_L2_none,300,l2,None,0.1,0.4799999999999999,0.36363636363633056,0.809523809523771,0.4999999999999375,0.7083333333333038,0.65625,0.5865800865800865,0.42105263157894735,0.722943722943723
20,20042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.585,0.45454545454541323,0.8571428571428164,0.6249999999999218,0.7499999999999688,0.71875,0.6558441558441558,0.5263157894736842,0.7186147186147186
20,20042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.295,0.7272727272726611,0.5238095238094989,0.4444444444444198,0.7857142857142296,0.59375,0.6255411255411256,0.5517241379310345,0.6666666666666666
20,20042,C_Top300_L2_none,300,l2,None,0.1,0.585,0.36363636363633056,0.8571428571428164,0.5714285714284898,0.7199999999999712,0.6875,0.6103896103896104,0.4444444444444444,0.6796536796536796
21,21042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.37999999999999995,0.7272727272726611,0.809523809523771,0.6666666666666111,0.8499999999999576,0.78125,0.7683982683982684,0.6956521739130435,0.8484848484848485
21,21042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.5299999999999999,0.7272727272726611,0.8571428571428164,0.7272727272726611,0.8571428571428164,0.8125,0.7922077922077921,0.7272727272727273,0.8614718614718615
21,21042,C_Top300_L2_none,300,l2,None,0.1,0.32999999999999996,0.7272727272726611,0.666666666666635,0.5333333333332978,0.8235294117646575,0.6875,0.696969696969697,0.6153846153846154,0.8441558441558441
22,22042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.48499999999999993,0.8181818181817438,0.666666666666635,0.5624999999999649,0.8749999999999454,0.71875,0.7424242424242424,0.6666666666666666,0.8658008658008658
22,22042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.6549999999999999,0.7272727272726611,0.8571428571428164,0.7272727272726611,0.8571428571428164,0.8125,0.7922077922077921,0.7272727272727273,0.8917748917748918
22,22042,C_Top300_L2_none,300,l2,None,0.1,0.635,0.7272727272726611,0.8571428571428164,0.7272727272726611,0.8571428571428164,0.8125,0.7922077922077921,0.7272727272727273,0.8961038961038961
23,23042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.44499999999999995,0.7272727272726611,0.809523809523771,0.6666666666666111,0.8499999999999576,0.78125,0.7683982683982684,0.6956521739130435,0.787878787878788
23,23042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.4749999999999999,0.6363636363635785,0.8571428571428164,0.69999999999993,0.818181818181781,0.78125,0.7467532467532467,0.6666666666666666,0.7922077922077921
23,23042,C_Top300_L2_none,300,l2,None,0.1,0.38999999999999996,0.7272727272726611,0.809523809523771,0.6666666666666111,0.8499999999999576,0.78125,0.7683982683982684,0.6956521739130435,0.8138528138528138
24,24042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.4749999999999999,0.6363636363635785,0.7142857142856803,0.538461538461497,0.7894736842104848,0.6875,0.6753246753246753,0.5833333333333334,0.7359307359307359
24,24042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.49999999999999994,0.5454545454544959,0.7142857142856803,0.4999999999999583,0.7499999999999626,0.65625,0.6298701298701299,0.5217391304347826,0.7316017316017316
24,24042,C_Top300_L2_none,300,l2,None,0.1,0.43499999999999994,0.5454545454544959,0.6190476190475896,0.42857142857139796,0.7222222222221821,0.59375,0.5822510822510822,0.48,0.722943722943723
25,25042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.4149999999999999,0.6363636363635785,0.6190476190475896,0.46666666666663553,0.7647058823528963,0.625,0.6277056277056277,0.5384615384615384,0.6363636363636365
25,25042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.4499999999999999,0.6363636363635785,0.7142857142856803,0.538461538461497,0.7894736842104848,0.6875,0.6753246753246753,0.5833333333333334,0.7012987012987013
25,25042,C_Top300_L2_none,300,l2,None,0.1,0.33999999999999997,0.6363636363635785,0.666666666666635,0.4999999999999643,0.7777777777777346,0.65625,0.6515151515151515,0.56,0.70995670995671
26,26042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.5249999999999999,0.7272727272726611,0.809523809523771,0.6666666666666111,0.8499999999999576,0.78125,0.7683982683982684,0.6956521739130435,0.8181818181818182
26,26042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.5449999999999999,0.6363636363635785,0.8571428571428164,0.69999999999993,0.818181818181781,0.78125,0.7467532467532467,0.6666666666666666,0.8095238095238095
26,26042,C_Top300_L2_none,300,l2,None,0.1,0.4699999999999999,0.6363636363635785,0.809523809523771,0.6363636363635785,0.809523809523771,0.75,0.722943722943723,0.6363636363636364,0.7922077922077921
27,27042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.22499999999999998,0.7272727272726611,0.47619047619045357,0.42105263157892525,0.7692307692307101,0.5625,0.6017316017316017,0.5333333333333333,0.5974025974025974
27,27042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.4649999999999999,0.5454545454544959,0.7142857142856803,0.4999999999999583,0.7499999999999626,0.65625,0.6298701298701299,0.5217391304347826,0.6233766233766234
27,27042,C_Top300_L2_none,300,l2,None,0.1,0.5049999999999999,0.36363636363633056,0.7619047619047257,0.44444444444439507,0.6956521739130133,0.625,0.5627705627705628,0.4,0.6363636363636365
28,28042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.48499999999999993,0.9090909090908265,0.809523809523771,0.7142857142856632,0.944444444444392,0.84375,0.8593073593073592,0.8,0.8571428571428572
28,28042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.31999999999999995,0.9090909090908265,0.6190476190475896,0.5555555555555247,0.9285714285713622,0.71875,0.7640692640692641,0.6896551724137931,0.8831168831168831
28,28042,C_Top300_L2_none,300,l2,None,0.1,0.3499999999999999,0.9090909090908265,0.7619047619047257,0.6666666666666222,0.94117647058818,0.8125,0.8354978354978355,0.7692307692307693,0.8917748917748918
29,29042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.4549999999999999,0.9090909090908265,0.7142857142856803,0.624999999999961,0.9374999999999415,0.78125,0.8116883116883117,0.7407407407407407,0.922077922077922
29,29042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.38999999999999996,0.9090909090908265,0.666666666666635,0.5882352941176126,0.9333333333332711,0.75,0.7878787878787878,0.7142857142857143,0.9090909090909091
29,29042,C_Top300_L2_none,300,l2,None,0.1,0.4149999999999999,0.9090909090908265,0.7142857142856803,0.624999999999961,0.9374999999999415,0.78125,0.8116883116883117,0.7407407407407407,0.9090909090909092
