VOC_Index,VOC_Name,Selection_Freq,Soft_Mean,Soft_Std,Soft_SEM
81,"266_Acetic acid, butyl ester                                                                                                   ",0.5,0.5148259,0.18143769,0.018143768608570098
82,"268_Cyclotrisiloxane, hexamethyl-                                                                                              ",0.51,0.49581355,0.17194131,0.017194131016731264
83,"272_Butanoic acid, 2-oxo-, methyl ester                                                                                        ",0.58,0.51808745,0.16113733,0.016113732755184174
84,"273_1-Butyne, 3-chloro-                                                                                                        ",0.46,0.48355758,0.17503725,0.01750372499227524
85,"274_Hexane, 3,3-dimethyl-                                                                                                      ",0.43,0.47782856,0.16669658,0.016669657826423646
86,283_3-Furaldehyde                                                                                                              ,0.5,0.50485784,0.17792934,0.01779293417930603
87,288_4-Hexen-3-one                                                                                                              ,0.43,0.48333445,0.16739051,0.016739051043987273
88,291_Tetrafluoromethane                                                                                                         ,0.55,0.5174708,0.16082402,0.01608240157365799
89,"296_.beta.-D-Glucopyranose, 1,6-anhydro-                                                                                       ",0.47,0.49406013,0.16350506,0.016350506246089934
90,"301_Benzene, chloro-                                                                                                           ",0.57,0.53219587,0.16108368,0.01610836833715439
91,316_2-Ethyl-5-propylcyclopentanone                                                                                             ,0.44,0.48242489,0.18800633,0.018800632655620576
92,317_Ethylbenzene                                                                                                               ,0.49,0.498435,0.17002161,0.01700216084718704
93,321_4-Hydroxy-3-hexanone                                                                                                       ,0.42,0.4839597,0.16575003,0.016575002670288087
94,"325_2,6-Octadiene-4,5-diol                                                                                                     ",0.51,0.5066115,0.18932228,0.018932227790355683
95,"329_Succinic acid, but-3-yn-2-yl tetrahydrofurfuryl ester                                                                      ",0.49,0.49101856,0.15949295,0.015949295461177827
96,332_N-(2-Methoxyethyl)-tert-butylamine                                                                                         ,0.38,0.48392478,0.16163535,0.01616353541612625
97,"335_2-Ethylthiolane, S,S-dioxide                                                                                               ",0.54,0.5030782,0.15686725,0.015686725080013276
98,336_1-Methylcyclopropanemethanol                                                                                               ,0.49,0.48926514,0.16660348,0.01666034758090973
99,337_2-Methoxythiophene                                                                                                         ,0.47,0.4875581,0.18014473,0.018014472723007203
100,338_1-Methoxycyclohexane                                                                                                       ,0.47,0.49424753,0.15828383,0.01582838296890259
101,"339_2H-Imidazole-2-thione, 1,3-dihydro-1-methyl-                                                                               ",0.47,0.47228146,0.17102848,0.01710284799337387
102,"340_Acetaldehyde, butylhydrazone                                                                                               ",0.48,0.4868478,0.15915687,0.01591568738222122
103,"344_3-Cyclobutene-1,2-dione, 3-phenyl-                                                                                         ",0.42,0.47479308,0.15192051,0.015192051231861115
104,"350_Trisiloxane, octamethyl-                                                                                                   ",0.63,0.54770404,0.1604667,0.016046670079231263
105,353_3-Ethyl-2-nonanone                                                                                                         ,0.42,0.4745587,0.16109106,0.016109105944633485
106,"358_Ethanone, 1-(1-cyclohexen-1-yl)-                                                                                           ",0.46,0.4819701,0.1620128,0.016201280057430267
107,"360_3,5-Octanedione, 2,2,4,7-tetramethyl-                                                                                      ",0.56,0.52846,0.15674175,0.015674175322055818
108,"361_1,2-Propanediol diformate                                                                                                  ",0.58,0.5258042,0.15811172,0.015811172127723695
109,362_Hypoglycin                                                                                                                 ,0.5,0.4948761,0.17043602,0.017043602466583253
110,363_Cyclohexylmethylsilane                                                                                                     ,0.49,0.51399773,0.16193952,0.016193951666355132
111,364_3-Heptanone                                                                                                                ,0.47,0.49046844,0.17600866,0.017600865662097932
112,370_o-Xylene                                                                                                                   ,0.44,0.49470273,0.16156742,0.016156741976737977
113,"378_2,2,3-Triethyloxirane                                                                                                      ",0.58,0.54326564,0.17509925,0.017509925365447997
114,"383_3,3-Dichloropropyne                                                                                                        ",0.54,0.4993311,0.17413914,0.0174139142036438
115,385_n-Heptyl acrylate                                                                                                          ,0.46,0.49535817,0.16276175,0.016276174783706666
116,"386_Cyclohexa-1,3-diene, 5,6-diethyl-                                                                                          ",0.56,0.5152097,0.17544587,0.017544586956501008
117,"387_2-Propenoic acid, butyl ester                                                                                              ",0.45,0.49807137,0.17282602,0.017282602190971375
118,389_3-Heptanol                                                                                                                 ,0.48,0.47900227,0.17499775,0.01749977469444275
119,"392_1-Butyl(dimethyl)silyloxy-2,2-dimethylpropane                                                                              ",0.53,0.5234959,0.179925,0.017992499470710754
120,"395_Ethanol, 2-butoxy-                                                                                                         ",0.51,0.5032103,0.17906374,0.017906373739242552
121,396_Heptanal                                                                                                                   ,0.48,0.5027684,0.16061522,0.01606152206659317
122,"399_2-Hexanol, 5-methyl-                                                                                                       ",0.49,0.49433202,0.15712124,0.01571212410926819
123,"401_2-Propanol, 1-methoxy-2-methyl-                                                                                            ",0.51,0.5061898,0.16994078,0.0169940784573555
124,"411_Propanoic acid, butyl ester                                                                                                ",0.49,0.4934786,0.15965496,0.015965496003627778
125,"422_1-Pentanol, TBDMS derivative                                                                                               ",0.45,0.47865143,0.16331403,0.01633140295743942
126,"425_Benzene, (1-methylethyl)-                                                                                                  ",0.45,0.49190164,0.15543178,0.015543177723884583
127,"431_1-Hexyn-3-ol, 3-methyl-                                                                                                    ",0.49,0.4997472,0.17061867,0.01706186681985855
