VOC_Index,VOC_Name,Selection_Freq,Soft_Mean,Soft_Std
358,"1223_2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-                                                                 ",0.56,0.51604825,0.1873417
253,838_Terpinen-4-ol                                                                                                              ,0.56,0.51475376,0.16649678
113,"378_2,2,3-Triethyloxirane                                                                                                      ",0.56,0.5146372,0.16631809
258,"863_1-Buten-3-one, 1-(2-carboxy-4,4-dimethylcyclobutenyl)-                                                                     ",0.56,0.5135788,0.16536471
307,"1083_2,7-Imino-3,6-methanonaphthalene, decahydro-                                                                              ",0.56,0.5131936,0.18914738
284,"1012_Phenol, 2-methyl-5-(1-methylethyl)-                                                                                       ",0.56,0.5120453,0.16022126
211,"693_Hexane, 2,5-dimethoxy-2,5-dimethyl-                                                                                        ",0.56,0.5108913,0.18059862
102,"340_Acetaldehyde, butylhydrazone                                                                                               ",0.56,0.5054867,0.1803044
148,"502_Oxalic acid, butyl 2-ethylhexyl ester                                                                                      ",0.56,0.5005099,0.17076634
108,"361_1,2-Propanediol diformate                                                                                                  ",0.55,0.5379393,0.18315196
343,"1187_2-Butanone, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-                                                                        ",0.55,0.53239495,0.17219643
133,"466_Hexanal, 3,3-dimethyl-                                                                                                     ",0.55,0.5301457,0.14266771
344,1189_.gamma.-Neoclovene                                                                                                        ,0.55,0.5267794,0.16690652
118,389_3-Heptanol                                                                                                                 ,0.55,0.5265355,0.17565092
360,"1235_Cycloheptasiloxane, tetradecamethyl-                                                                                      ",0.55,0.5263467,0.1809742
257,858_2-Decanone                                                                                                                 ,0.55,0.5231624,0.18455446
110,363_Cyclohexylmethylsilane                                                                                                     ,0.55,0.52316,0.18252973
35,"107_Formic acid, 5-methylhex-2-yl ester                                                                                        ",0.55,0.52282,0.18862468
281,"990_3,4-Dimethylcumene                                                                                                         ",0.55,0.5224647,0.18043247
187,"626_3,5-Octadien-2-ol                                                                                                          ",0.55,0.52083224,0.17405759
390,"1338_4-tert-Butyl-2,6-diisopropylphenol                                                                                        ",0.55,0.52054214,0.1843705
404,"1411_Phenol, 2,4-di-t-butyl-6-nitro-                                                                                           ",0.55,0.5204341,0.1717848
374,"1281_Eicosane, 1-iodo-                                                                                                         ",0.55,0.51683074,0.17919742
162,"546_Benzene, 1,2,3-trimethyl-                                                                                                  ",0.55,0.51642466,0.18577617
359,"1234_2,5-cyclohexadiene-1,4-dione, 2-(1,1-dimethylethyl)-5-(2-methyl-2-propen-1-yl)-                                           ",0.55,0.5157718,0.18501526
138,"480_Benzene, 1,1'-(1-methyl-1,2-ethanediyl)bis-                                                                                ",0.55,0.51369876,0.17461316
288,1018_2-Undecanone                                                                                                              ,0.55,0.51193446,0.17857735
204,675_Cyclooctyl alcohol                                                                                                         ,0.55,0.51110315,0.18084833
419,1501_Hexestrol                                                                                                                 ,0.55,0.5079732,0.18129578
333,1172_2-Cyanoquinoxaline                                                                                                        ,0.55,0.50752974,0.1855176
338,1178_Nopyl acetate                                                                                                             ,0.55,0.5065052,0.1736975
23,70_Trimethylene oxide                                                                                                          ,0.55,0.5050412,0.17035379
325,"1145_2,3-Dihydro-1H-cyclopenta[b]quinoxaline                                                                                   ",0.55,0.49986875,0.17796177
405,"1425_Hexanoic acid, 3,5,5-trimethyl-, nonyl ester                                                                              ",0.55,0.49970585,0.1757313
357,"1221_1,2-Bis(trimethylsilyl)-4-methylbenzene                                                                                   ",0.55,0.498059,0.17080055
69,"232_Isovaleric acid, 3-methylbutyl-2 ester                                                                                     ",0.55,0.49678254,0.18156229
363,"1241_Ethanone, 1-[4-(1-hydroxy-1-methylethyl)phenyl]-                                                                          ",0.54,0.53573155,0.17728333
278,977_Nonanoic acid                                                                                                              ,0.54,0.53141326,0.17836763
0,"1_2-Butenal, (Z)-                                                                                                              ",0.54,0.52719516,0.18347174
439,1672_Bis(2-ethylhexyl) phthalate                                                                                               ,0.54,0.52605295,0.18431664
76,240_Tetrachloroethylene                                                                                                        ,0.54,0.52529615,0.1888246
231,"771_1H-Indene, 2,3-dihydro-5-methyl-                                                                                           ",0.54,0.5229817,0.20438601
194,"645_Nonane, 5-methyl-5-propyl-                                                                                                 ",0.54,0.5224933,0.19991319
213,"697_Benzene, 2-ethyl-1,4-dimethyl-                                                                                             ",0.54,0.5210022,0.17096464
190,"635_2,4,6-Cycloheptatrien-1-one, 4-methyl-                                                                                     ",0.54,0.52071846,0.17195235
66,"227_Pipecolic acid, N-propoxycarbonyl-, dodecyl ester                                                                          ",0.54,0.5203152,0.20051228
311,1099_2-Undecenal                                                                                                               ,0.54,0.5198692,0.19714634
125,"422_1-Pentanol, TBDMS derivative                                                                                               ",0.54,0.51938176,0.1801001
238,"793_Hexadecanal, 2-methyl-                                                                                                     ",0.54,0.51568514,0.17653964
17,40_tert-Butylpentamethyldisiloxane                                                                                             ,0.54,0.51405776,0.1743242
239,794_(R)-(+)-1-Phenyl-1-propanol                                                                                                ,0.54,0.5118287,0.16951966
156,"527_Dodecane, 2,2,11,11-tetramethyl-                                                                                           ",0.54,0.5110804,0.1851811
356,"1220_2,5-cyclohexadien-1-one, 2,6-bis(1,1-dimethylethyl)-4-hydroxy-4-methyl-                                                   ",0.54,0.510288,0.17970808
309,"1090_Phenol, 2-(1,1-dimethylethyl)-6-methyl-                                                                                   ",0.54,0.50955695,0.18047866
347,"1197_Quinoline, 2,7-dimethyl-                                                                                                  ",0.54,0.50897914,0.16545193
50,"160_Butanoic acid, 2-amino-4-(methylsulfinyl)-, (.+/-.)-                                                                       ",0.54,0.5089571,0.17042129
428,"1570_Ethanedione, diphenyl-                                                                                                    ",0.54,0.50846446,0.171469
415,"1473_Benzene, (1-butyloctyl)-                                                                                                  ",0.54,0.50773025,0.19424383
172,"586_Benzene, 1,2,4-trimethyl-                                                                                                  ",0.54,0.5072405,0.17000453
92,317_Ethylbenzene                                                                                                               ,0.54,0.5066269,0.17820308
100,338_1-Methoxycyclohexane                                                                                                       ,0.54,0.5027678,0.17359942
387,"1325_1-Adamantanecarboxylic acid, 2-adamantyl ester                                                                            ",0.54,0.50133455,0.18352754
57,"186_Butane, 2-cyclopropyl-                                                                                                     ",0.54,0.500442,0.18267073
81,"266_Acetic acid, butyl ester                                                                                                   ",0.54,0.49539864,0.18199222
306,"1080_Tricyclo[5.4.0.0(2,8)]undec-9-ene, 2,6,6,9-tetramethyl-, (1R,2S,7R,8R)-                                                   ",0.54,0.4952749,0.18163432
313,1102_N-(tert-Butyldimethylsilyl)-9-ethyl-9H-carbazol-3-amine                                                                   ,0.53,0.5289477,0.17556027
424,"1526_.alpha.-Phellandrene, dimer                                                                                               ",0.53,0.52706224,0.20002243
251,832_trans-2-Dodecen-1-ol                                                                                                       ,0.53,0.5228705,0.18610728
160,"538_Cyclotetrasiloxane, octamethyl-                                                                                            ",0.53,0.5206384,0.18167125
275,"958_1H-Indene, 2,3-dihydro-1,1-dimethyl-                                                                                       ",0.53,0.5172354,0.16036312
129,"449_Cyclohexane, 1,3-dimethyl-                                                                                                 ",0.53,0.5154434,0.18046515
334,"1173_Spiro[5.5]undec-2-ene, 3,7,7-trimethyl-11-methylene-, (-)-                                                                ",0.53,0.5138171,0.16325644
444,1730_Cyclic octaatomic sulfur                                                                                                  ,0.53,0.511063,0.18197581
85,"274_Hexane, 3,3-dimethyl-                                                                                                      ",0.53,0.51065946,0.16954127
195,"648_Succinic acid, tridec-2-yn-1-yl 3-methylbut-3-en-1-yl ester                                                                ",0.53,0.5094216,0.18265137
330,"1162_3-Furancarboxylic acid, 2,5-dimethyl-, methyl ester                                                                       ",0.53,0.509336,0.18565218
168,"571_Ethanol, 2-(2-ethoxyethoxy)-                                                                                               ",0.53,0.5083267,0.16789833
321,1133_2-Dodecanone                                                                                                              ,0.53,0.50711876,0.17758225
263,"897_2,3,4,6-Tetrahydroisoquinolin-6-one, 1-[4-hydroxybenzyl]-7-methoxy-                                                        ",0.53,0.50643545,0.17461218
406,"1433_3-Chloropropionic acid, heptadecyl ester                                                                                  ",0.53,0.50492007,0.19008602
98,336_1-Methylcyclopropanemethanol                                                                                               ,0.53,0.5028886,0.2010872
426,"1563_Benzene, 1-methyl-4-(1,2,2-trimethylcyclopentyl)-, (R)-                                                                   ",0.53,0.4983857,0.17796405
317,"1112_Acetic acid, trifluoro-, undecyl ester                                                                                    ",0.52,0.5320983,0.16497092
283,"1011_Naphthalene, 1,2,3,4-tetrahydro-1,8-dimethyl-                                                                             ",0.52,0.52202666,0.16128077
384,"1319_Pentadecane, 4-methyl-                                                                                                    ",0.52,0.5218568,0.17993192
73,"237_Ethanol, 2-propoxy-                                                                                                        ",0.52,0.51987654,0.18183854
216,703_Lethane                                                                                                                    ,0.52,0.519388,0.18617728
163,548_4-Octanol                                                                                                                  ,0.52,0.5176608,0.16255495
230,"755_Undecane, 3,8-dimethyl-                                                                                                    ",0.52,0.5144909,0.18432732
67,"228_Cyclopentane, 1,2,4-trimethyl-, (1.alpha.,2.beta.,4.alpha.)-                                                               ",0.52,0.5121164,0.18248962
60,214_Cyclopentanone                                                                                                             ,0.52,0.51146233,0.17508979
13,"29_Disiloxane, hexamethyl-                                                                                                     ",0.52,0.5101672,0.16569942
430,"1597_Benzenebutanal, .gamma.,4-dimethyl-                                                                                       ",0.52,0.5097023,0.19496796
29,"86_Silanediol, dimethyl-                                                                                                       ",0.52,0.50953066,0.18510903
130,"451_2-Heptanone, 4-methyl-                                                                                                     ",0.52,0.50835073,0.17361255
240,"795_2(3H)-Furanone, dihydro-5-propyl-                                                                                          ",0.52,0.50779325,0.1859839
124,"411_Propanoic acid, butyl ester                                                                                                ",0.52,0.50669134,0.18896525
170,"575_Cyclopentene, 1,4-dimethyl-5-(1-methylethyl)-                                                                              ",0.52,0.505722,0.15672073
30,"88_Sulfurous acid, dimethyl ester                                                                                              ",0.52,0.50517577,0.1907099
198,"654_Pentanal, 5-[(tetrahydro-2H-pyran-2-yl)oxy]-                                                                               ",0.52,0.5050727,0.1697266
176,592_Tetramethylbutanedinitrile                                                                                                 ,0.52,0.5047007,0.19341935
277,"976_Benzoic acid, 2-hydroxy-, ethyl ester                                                                                      ",0.52,0.504042,0.1863697
196,"649_2(3H)-Furanone, 5-ethyldihydro-                                                                                            ",0.52,0.5033803,0.17528862
64,"224_2-Methoxy-1,3-dioxolane                                                                                                    ",0.52,0.5020841,0.16456546
83,"272_Butanoic acid, 2-oxo-, methyl ester                                                                                        ",0.52,0.5015002,0.16310668
285,"1014_1H-Pyrazole, 3-ethyl-4,5-dihydro-1,4-dimethyl-                                                                            ",0.52,0.50018007,0.19178589
247,"815_Acetic acid, phenylmethyl ester                                                                                            ",0.52,0.49985316,0.19095626
193,"640_1-Hexanol, 3,5,5-trimethyl-                                                                                                ",0.52,0.49978888,0.17572811
436,1654_Tetracosane                                                                                                               ,0.52,0.49933988,0.17224957
1,"4_4,5-Dihydrooxazole-5-one, 4-[4-acetoxy-3-methoxybenzylidene]-2-phenyl-                                                       ",0.52,0.4993226,0.1762965
318,1119_Longifolene-(V4)                                                                                                          ,0.52,0.4977413,0.17028107
372,1268_Bis(pentamethylcyclotrisiloxy)tetramethyldisiloxane                                                                       ,0.52,0.4970423,0.18522552
218,"709_4-Heptanol, 2,6-dimethyl-                                                                                                  ",0.52,0.49610314,0.18168436
411,1459_Pentadecanal-                                                                                                             ,0.52,0.49380124,0.17862894
274,"952_Sulfurous acid, 2-ethylhexyl undecyl ester                                                                                 ",0.52,0.49179244,0.18193966
115,385_n-Heptyl acrylate                                                                                                          ,0.52,0.4795577,0.19379973
39,"120_Oxirane, 2-(1,1-dimethylethyl)-3-methyl-                                                                                   ",0.51,0.5235174,0.17948486
302,1067_Cedrene-V6                                                                                                                ,0.51,0.52240825,0.15972707
7,"17_Furan, 2,3-dihydro-4-methyl-                                                                                                ",0.51,0.5223655,0.16512378
149,503_5-Nonanol                                                                                                                  ,0.51,0.52171075,0.17956746
147,"501_5-Ethyl-2,4-nonandione                                                                                                     ",0.51,0.5182041,0.19510548
105,353_3-Ethyl-2-nonanone                                                                                                         ,0.51,0.51785463,0.18050554
