VOC_Index,VOC_Name,Selection_Freq,Soft_Mean,Soft_Std,Soft_SEM
73,"237_Ethanol, 2-propoxy-                                                                                                        ",0.45,0.48664102,0.1776166,0.017761659622192384
74,238_2-Methyl-4-methoxy-1-butanol                                                                                               ,0.55,0.5251943,0.19424407,0.01942440718412399
75,"239_1-Butene, 2,3,3-trimethyl-                                                                                                 ",0.39,0.46890506,0.16505496,0.016505496203899385
76,240_Tetrachloroethylene                                                                                                        ,0.38,0.45471615,0.16076088,0.016076087951660156
77,249_Butanoic acid                                                                                                              ,0.46,0.4834713,0.1574796,0.015747959911823272
78,"256_Propanoic acid, propyl ester                                                                                               ",0.41,0.4639003,0.15672885,0.01567288488149643
79,"259_Heptane, 3,4,5-trimethyl-                                                                                                  ",0.4,0.46055332,0.18570258,0.01857025772333145
80,"262_1,5-Dimethyl-6-oxa-bicyclo[3.1.0]hexane                                                                                    ",0.41,0.4476077,0.16591734,0.016591733694076537
81,"266_Acetic acid, butyl ester                                                                                                   ",0.51,0.49537015,0.18210374,0.01821037381887436
82,"268_Cyclotrisiloxane, hexamethyl-                                                                                              ",0.53,0.5095031,0.1880381,0.018803809583187104
83,"272_Butanoic acid, 2-oxo-, methyl ester                                                                                        ",0.46,0.47567847,0.17222494,0.017222493886947632
84,"273_1-Butyne, 3-chloro-                                                                                                        ",0.42,0.47101563,0.1779747,0.017797470092773438
85,"274_Hexane, 3,3-dimethyl-                                                                                                      ",0.42,0.47750014,0.16886038,0.016886037588119508
86,283_3-Furaldehyde                                                                                                              ,0.49,0.4980429,0.16773976,0.016773976385593414
87,288_4-Hexen-3-one                                                                                                              ,0.49,0.47512427,0.17049919,0.017049919068813323
88,291_Tetrafluoromethane                                                                                                         ,0.38,0.45534,0.18095544,0.01809554398059845
89,"296_.beta.-D-Glucopyranose, 1,6-anhydro-                                                                                       ",0.5,0.5017456,0.18889187,0.01888918727636337
90,"301_Benzene, chloro-                                                                                                           ",0.31,0.44270858,0.1835262,0.01835262030363083
91,316_2-Ethyl-5-propylcyclopentanone                                                                                             ,0.41,0.48285446,0.1724486,0.017244860529899597
92,317_Ethylbenzene                                                                                                               ,0.42,0.47509393,0.16870442,0.016870442032814025
93,321_4-Hydroxy-3-hexanone                                                                                                       ,0.47,0.5053535,0.16995099,0.01699509918689728
94,"325_2,6-Octadiene-4,5-diol                                                                                                     ",0.28,0.42065156,0.16726257,0.016726256906986238
95,"329_Succinic acid, but-3-yn-2-yl tetrahydrofurfuryl ester                                                                      ",0.46,0.48362365,0.1605907,0.01605906933546066
96,332_N-(2-Methoxyethyl)-tert-butylamine                                                                                         ,0.45,0.46786827,0.178426,0.017842599749565126
97,"335_2-Ethylthiolane, S,S-dioxide                                                                                               ",0.53,0.49883217,0.16116038,0.016116037964820862
98,336_1-Methylcyclopropanemethanol                                                                                               ,0.37,0.45751753,0.15134713,0.015134713053703308
99,337_2-Methoxythiophene                                                                                                         ,0.53,0.5014652,0.1818418,0.018184180557727813
100,338_1-Methoxycyclohexane                                                                                                       ,0.45,0.45938817,0.16724676,0.01672467589378357
101,"339_2H-Imidazole-2-thione, 1,3-dihydro-1-methyl-                                                                               ",0.34,0.4425,0.17689544,0.017689543962478637
102,"340_Acetaldehyde, butylhydrazone                                                                                               ",0.38,0.4527311,0.16058491,0.016058491170406343
103,"344_3-Cyclobutene-1,2-dione, 3-phenyl-                                                                                         ",0.5,0.5146318,0.18274409,0.01827440857887268
104,"350_Trisiloxane, octamethyl-                                                                                                   ",0.42,0.46129924,0.15447985,0.015447984635829925
105,353_3-Ethyl-2-nonanone                                                                                                         ,0.34,0.41585732,0.17317815,0.017317815124988555
106,"358_Ethanone, 1-(1-cyclohexen-1-yl)-                                                                                           ",0.48,0.48672593,0.18314125,0.018314124643802644
107,"360_3,5-Octanedione, 2,2,4,7-tetramethyl-                                                                                      ",0.52,0.52531445,0.19182655,0.019182655215263366
108,"361_1,2-Propanediol diformate                                                                                                  ",0.45,0.47521535,0.1630208,0.01630208045244217
109,362_Hypoglycin                                                                                                                 ,0.44,0.48398894,0.18688522,0.018688522279262543
110,363_Cyclohexylmethylsilane                                                                                                     ,0.43,0.48227736,0.17157839,0.017157839238643648
111,364_3-Heptanone                                                                                                                ,0.42,0.47218496,0.161604,0.016160400211811067
